BPOS,V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
72,0,0,0,0,3,0,266,135,265,165,265,29,1,0,0,0,1,0,0,0,0,0,0,0,290,61,1,0,390,30966,78.40217822,70.70390394,72.94010665,73.30747696,94.64633424
73,0,0,0,0,3,0,266,122,265,170,265,33,1,0,0,0,1,0,0,0,0,0,0,0,290,60,0,0,385,31736,79.1004329,69.53697548,72.17566131,72.44609764,91.74083266
74,0,0,0,0,2,0,266,108,265,173,265,38,1,0,0,0,1,0,0,0,0,0,0,0,290,58,1,0,377,32490,79.21762041,67.4800759,70.63253331,70.97948437,88.69028601
75,0,0,0,0,2,0,265,94,265,176,265,44,1,0,0,0,1,0,0,0,0,0,1,0,290,57,1,0,371,33232,81.1536118,65.1516596,68.53275149,69.1562461,87.00573102
76,0,0,0,0,2,0,266,81,265,178,265,50,1,0,0,0,1,0,0,0,0,0,1,0,290,56,1,0,365,33962,82.57061135,64.34317252,65.81122914,66.58500663,85.68998036
77,0,0,0,0,2,0,266,66,265,180,264,65,1,0,0,0,1,0,0,0,0,0,0,0,290,54,1,0,365,34692,83.97318869,65.77988941,64.93815724,65.51225278,84.79651189
78,0,0,0,0,2,0,266,50,265,178,264,85,1,0,0,0,1,0,0,0,0,0,0,0,290,53,1,0,366,35424,82.7582248,66.77446266,65.52132069,65.88392751,85.06206433
79,0,0,0,0,2,0,266,35,265,167,264,106,1,0,0,0,1,0,0,0,0,0,0,0,290,53,1,0,361,36146,80.75568748,66.43153527,65.52827313,65.7171376,82.56736652
80,0,0,0,0,2,0,189,0,266,171,265,117,1,0,0,0,1,0,0,0,0,0,1,0,290,64,0,0,352,36850,78.27898579,65.16454689,65.12706209,65.16871734,78.26068789
81,0,0,0,0,2,0,112,0,265,161,264,126,1,0,0,0,1,0,0,0,0,0,1,0,290,61,1,0,348,37546,76.7944944,64.73729972,65.9806551,65.81675368,74.67079711
82,0,0,0,0,2,0,65,0,266,150,264,136,1,0,0,0,1,0,0,0,0,0,0,0,290,59,1,0,345,38236,75.87111482,64.56198202,66.82573577,66.55076383,71.19040356
83,0,0,0,0,2,0,38,0,266,138,265,145,1,0,0,0,1,0,0,0,0,0,0,0,290,57,1,0,340,38916,74.94987561,64.04481935,67.01160657,66.73772219,67.25597628
84,0,0,0,0,1,0,23,0,265,127,265,153,1,0,0,0,1,0,0,0,0,0,0,0,290,55,1,0,335,39586,72.99450298,62.69562988,65.59365693,65.34735648,68.36885373
85,0,0,0,0,1,0,16,0,265,118,265,158,1,0,0,0,1,0,0,0,0,0,1,0,290,53,0,0,329,40244,70.93655989,61.01353989,63.65077482,63.43215211,69.9669733
