V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
0,0,0,0,0,0,0,0,265,85,265,151,265,66,0,0,0,0,0,0,0,0,0,0,290,63,12,0,190.8504635,151.6882329,152.8562778,157.5080515,178.4339546
0,0,0,0,0,0,0,0,265,74,265,153,265,72,0,0,0,0,0,0,0,0,0,0,290,60,110,0,194.0245869,152.6991508,154.6225273,158.9170692,178.7884927
0,0,0,0,0,0,0,0,265,65,265,151,265,79,0,0,0,0,0,0,0,0,0,0,290,56,243.5,6,197.3498589,154.1649818,156.2878482,160.4267311,184.8156402
0,0,0,0,0,0,0,0,265,55,265,148,265,49,0,0,0,0,0,0,0,0,0,0,290,53,290,50,200.1713019,155.2264456,157.549455,161.6344605,189.3233387
0,0,0,0,0,0,0,0,265,46,265,143,265,56,0,0,0,0,0,0,0,0,0,0,290,51,290,53,202.0354696,155.984634,158.8110618,162.6912238,190.893436
0,0,0,0,0,0,0,0,245,37,265,139,265,65,0,0,0,0,0,0,0,0,0,0,290,48,290,54,198.8613462,155.8329964,159.1138474,162.9428341,192.2102917
0,0,0,0,0,0,0,0,0,0,265,143,265,73,0,0,0,0,0,0,0,0,0,0,290,57,290,57,197.6017735,155.8835423,159.4670973,163.5970209,193.1726094
0,0,0,0,0,0,0,0,0,0,265,133,265,83,0,0,0,0,0,0,0,0,0,0,290,52,290,60,200.4735994,156.2373635,159.97174,164.452496,194.0336305
0,0,0,0,0,0,0,0,0,0,265,124,265,90,0,0,0,0,0,0,0,0,0,0,290,48,290,63,199.4155582,156.0351799,159.5175616,163.8989533,193.6790924
0,0,0,0,0,0,0,0,0,0,265,120,265,93,0,0,0,0,0,0,0,0,0,0,290,47,290,62,203.1942765,159.3712091,162.7977392,167.1698873,197.6296596
0,0,0,0,0,0,0,0,0,0,265,115,265,97,0,0,0,0,0,0,0,0,0,0,290,46,290,62,204.5546151,159.7250303,162.394025,166.7169887,197.3257699
0,0,0,0,0,0,0,0,0,0,265,105,265,104,100,0,0,0,0,0,0,0,0,0,290,43,290,65,205.2095929,159.9777598,161.2333468,165.257649,196.3128039
0,0,0,0,0,0,0,0,0,0,265,95,265,112,221,0,0,0,0,0,0,0,0,0,290,39,290,68,205.4111245,160.6348564,160.0726686,163.4963768,198.3893841
0,0,0,0,0,0,0,0,0,0,265,85,265,106,265,26,0,0,0,0,0,0,0,0,290,36,290,62,205.3103587,161.7974121,159.5175616,162.5905797,201.6308752
0,0,0,0,0,0,0,0,0,0,265,76,265,110,265,31,0,0,0,0,0,0,0,0,290,33,290,64,204.8569125,163.0105135,159.6184901,162.3389694,201.2763371
0,0,0,0,0,0,0,0,0,0,265,66,265,113,265,39,0,0,0,0,0,0,0,0,290,32,290,64,204.0004031,164.5268904,160.9810254,163.4460548,201.0737439
0,0,0,0,0,0,0,0,0,0,265,59,265,114,265,45,0,0,0,0,0,0,0,0,290,29,290,65,203.0935107,166.3970886,163.3528462,165.5595813,200.7192058
0,0,0,0,0,0,0,0,0,0,265,49,265,114,265,53,0,0,0,0,0,0,0,0,290,28,290,65,202.0858525,168.2672867,166.5825595,168.4782609,200.0101297
0,0,0,0,0,0,0,0,0,0,265,41,265,114,265,59,0,0,0,0,0,0,0,0,290,27,290,66,201.229343,170.0869389,170.0645943,171.849839,199.3010535
0,0,0,0,0,0,0,0,0,0,145,34,265,111,265,69,0,0,0,0,0,0,0,0,170,25,290,67,172.3095526,164.3752527,166.9862737,168.578905,198.2374392
0,0,0,0,0,0,0,0,0,0,0,0,265,129,265,77,0,0,0,0,0,0,0,0,0,0,290,71,165.6086256,164.4257986,168.7525232,170.5917874,197.528363
0,0,0,0,0,0,0,0,0,0,0,0,265,124,265,85,0,0,0,0,0,0,0,0,0,0,290,70,174.4256348,167.6101901,172.0831651,174.4665862,197.4270665
0,0,0,0,0,0,0,0,0,0,0,0,265,117,265,93,0,0,0,0,0,0,0,0,0,0,290,71,182.184603,169.6825718,174.0008074,176.5801127,197.528363
0,0,0,0,0,0,0,0,0,0,0,0,265,111,265,99,0,0,0,0,0,0,0,0,0,0,290,71,189.3893591,171.502224,175.3128785,178.2407407,198.1867909
0,0,0,0,0,0,0,0,0,0,0,0,265,106,265,106,0,0,0,0,0,0,0,0,0,0,290,71,195.3345425,172.6647796,176.3221639,179.297504,198.8958671
0,0,0,0,0,0,0,0,0,0,0,0,265,99,265,112,116,0,0,0,0,0,0,0,0,0,290,70,200.2720677,173.6756975,176.8268066,180.0523349,199.3010535
0,0,0,0,0,0,0,0,0,0,0,0,265,90,265,119,207,0,0,0,0,0,0,0,0,0,290,71,204.5546151,174.6866154,177.4828421,180.7065217,202.1373582
0,0,0,0,0,0,0,0,0,0,0,0,265,82,265,113,265,24,0,0,0,0,0,0,0,0,290,63,207.6279726,175.5458957,178.0379491,181.1594203,205.5307942
0,0,0,0,0,0,0,0,0,0,0,0,265,74,265,116,265,27,0,0,0,0,0,0,0,0,290,62,209.4921403,175.7480793,178.2902705,181.2097424,206.3918152
