,Front_A,Roof_A,RHWing_A,LHWing_A,Rear_A,Front_As,Roof_As,RHWing_As,LHWing_As,Rear_As,Eff_Amps,App_Volts,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
160,82.95369300016964,72.20450816087148,77.27369171391047,76.97430823680475,68.77379377325562,6068.95434535128,6849.709420226645,6543.452751429368,6323.384450047843,14410.773298112688,378.179994885012,768.3721763,168.09776486755754,146.31556469919906,156.5877827783567,155.98111065178065,139.3635484645991
162,81.69978213020147,70.94998113976867,75.80863550629267,75.55069397494306,68.1365475207227,6232.353909611683,6991.609382506183,6695.070022441953,6474.485837997729,14547.046393154134,372.1456402719285,773.7425701999999,169.40999059813402,147.11955557813866,157.19430203512024,156.65944292948438,141.28571183310302
164,80.74660713014848,69.95067948781792,74.66549236791232,74.44896500283403,67.31273663199713,6393.847123871979,7131.5107414818185,6844.401007177778,6623.383768003397,14681.671866418128,367.12448062070985,776.5367818999999,170.3301838129957,147.55681406897605,157.50243250488077,157.04568085666745,141.9922299026604
166,78.83497986376753,68.18047124795923,72.55517250513388,72.3719014246194,67.12148088641072,6551.517083599514,7267.871683977737,6989.511352188046,6768.1275708526355,14815.91482819095,359.0640059278908,777.1091647999999,170.14581949417703,147.15069597315687,156.5924074029112,156.19686207217597,144.86512701362298
168,77.5398252292616,66.92134698932855,71.08871923755915,70.94069584597432,66.53921008855846,6706.596734058037,7401.714377956394,7131.688790663164,6910.008962544584,14948.993248368066,353.029797390682,776.5206123,170.0740248658119,146.78370499630125,155.9243210510199,155.59965003316958,145.94553492599795
170,75.33110383672667,64.90488966910458,68.68956425639877,68.57009002745428,66.46372546605102,6857.25894173149,7531.524157294603,7269.067919175961,7047.149142599493,15081.920699300168,343.95937325573533,812.2334786,177.372900288527,152.82357402418987,161.734882554218,161.45357125757818,156.49397326561407
172,82.350195159442,70.52937608218025,75.79044181966917,75.75709104652466,60.84100748392722,7021.9593320503745,7672.5829094589635,7420.648802815299,7198.663324692542,15203.602714268023,365.26811159174326,831.3369802999999,186.91434062727038,160.08403865624578,172.02534166609925,171.94964375476283,138.09386577577766
174,80.9506521436081,69.25183854426062,74.26994433480714,74.26620452452416,60.49081408895798,7183.860636337591,7811.086586547484,7569.188691484913,7347.195733741591,15324.58434244594,359.2294536361579,839.0518269,188.55146874925927,161.3024172793886,172.99066428039092,172.98195345838977,140.8961081879562
176,80.80076643013467,69.00404503116809,74.03893308842358,74.072744697663,59.32710452514882,7345.462169197861,7949.09467660982,7717.26655766176,7495.341223136917,15443.238551496237,357.24359377253813,853.0450602,192.40175082478777,164.311548820133,176.30055981869063,176.38107158984434,141.26894194591114
178,80.62646785809923,68.75276257136802,73.79776652168601,73.86746311296369,58.212492952399906,7506.715104914059,8086.600201752556,7864.862090705132,7643.076149362844,15559.663537401037,355.25695301651683,863.9050017,195.5150861260157,166.72195437359974,178.95583250389942,179.12484319490883,141.16233633388967
180,79.1695945847888,67.46635371178984,72.25957426651075,72.35329168840596,57.96816773867268,7665.054294083637,8221.532909176136,8009.381239238153,7787.782732739656,15675.599872878382,349.216981990168,870.4158252,196.7650672153956,167.67828220543356,179.59116832761518,179.8240900056303,144.07185588449082
182,77.70386661157607,66.17894753025712,70.72262240665913,70.83865864979443,57.733086350887696,7820.4620273067885,8353.89080423665,8150.826484051471,7929.460050039245,15791.066045580157,343.1771815491744,868.9613158000001,196.1828319635294,167.08529329372485,178.55693613010965,178.8498986271046,145.76160585327665
184,74.12981888907925,63.1186754900181,67.01537366716391,67.13783049797571,58.651214524004494,7968.721665084947,8480.128155216686,8284.857231385799,8063.735711035197,15908.368474628167,330.0529130682415,869.7220434000001,194.74934373343498,165.82153866310833,176.0587067028945,176.38041782796765,154.08489739884564
186,73.85216591404867,62.8399961945465,66.72334502637189,66.87266720781524,57.77367864119079,8116.425996913044,8605.808147605778,8418.303921438543,8197.481045450828,16023.915831910548,328.0618529839731,875.1688293999999,196.4163059484154,167.12847572690313,177.45658219224296,177.8537176169426,153.6541602985665
188,73.25929769724581,62.30652895668632,66.11654722637229,66.28938829944086,57.08662973538892,8262.944592307536,8730.421205519151,8550.537015891287,8330.05982204971,16138.089091381325,325.05839191513417,872.5463454000001,196.04504609389107,166.73496368670686,176.93073720320936,177.39326738301915,152.76628782424103
190,72.64787784857191,61.76973723403056,65.50215039184289,65.69701064964981,56.43754997677561,8408.24034800468,8853.960679987213,8681.541316674973,8461.45384334901,16250.964191334877,322.05432610087075,890.1627717,200.17820867570018,170.2039442315245,180.48845359497554,181.02538293833754,155.5113238124454
192,72.31052932846362,61.48068653585181,65.18425021992897,65.40158861177753,55.684150438655784,8552.861406661606,8976.922053058915,8811.90981711483,8592.257020572566,16362.332492212188,320.06120513467766,890.7164290000001,200.61027440400707,170.56516541981767,180.8399197859564,181.44287920047285,154.4839016280797
194,71.66282723884302,60.9377191059165,64.55497466272345,64.7915028224954,55.1089410998318,8696.187061139293,9098.797491270749,8941.019766440277,8721.840026217556,16472.55037441185,317.05596492981016,887.9911524000001,200.07785912176107,170.13406878073167,180.23320630554798,180.8935772349764,153.86050730280382
196,70.9981132583668,60.39160325935738,63.918729364422106,64.17304191934252,54.56867918617868,8838.183287656027,9219.580697789463,9068.85722516912,8850.186110056242,16581.68773278421,314.05016698766747,888.0044104,200.11618564219447,170.2205415670693,180.16214409749122,180.87895270149448,153.80797366448053
198,71.47668566496009,60.84541483061079,64.48417228592976,64.76291547584113,53.520204593809375,8981.136658985948,9341.271527450685,9197.82556974098,8979.711941007925,16688.728141971827,315.0893928511511,890.8467873,201.44546837567114,171.48295244855132,181.73820131848507,182.52379387815452,150.8380331524945
200,71.35817503370814,60.79706498922491,64.43929128498458,64.73757942343963,52.7733289469655,9123.853009053364,9462.865657429134,9326.70415231095,9109.187099854804,16794.274799865758,314.10543967832274,891.1012225999999,201.79707808267491,171.9308273373389,182.23084725591153,183.07439005585724,149.24013369404247
202,71.51585952700782,60.999135863070215,64.69234757806913,65.01137252336842,51.91392089812776,9266.88472810738,9584.863929155275,9456.088847467088,9239.209844901541,16898.10264166201,314.1326363896433,894.0281176000001,202.88977366476948,173.05393448191768,183.53153894487218,184.43660950367243,147.27927106985544
204,71.07010976059755,60.69534635916952,64.32988302039402,64.66408942550584,51.37669183158024,9409.024947628575,9706.254621873615,9584.748613507876,9368.538023752553,17000.85602532517,312.1361203972471,899.1222326,204.06689486351985,174.27735662578817,184.71336992620542,185.67299224231556,147.52027266803526
206,70.31480077842002,60.13650259746311,63.65621657383397,64.00202923308657,51.01789728692122,9549.654549185416,9826.52762706854,9712.061046655544,9496.542082218726,17102.891819899014,309.1274464697249,905.4240893,205.2856500894284,175.56987850577266,185.84576301044575,186.8553708850031,148.94790420789477
208,69.83510730770288,59.826540362904275,63.27888179574801,63.63733544411582,50.55187067956532,9689.324763800822,9946.180707794349,9838.61881024704,9623.816753106958,17203.995561258143,307.1297355900363,912.5317687,206.8179296841388,177.1773781846205,187.4015495968231,188.46311654074583,149.71027665987157
210,69.63005548942397,59.76600774954237,63.197338911809894,63.569642931491856,49.97992362666766,9828.58487477967,10065.712723293433,9965.013488070661,9750.956038969942,17303.95540851148,306.1429687089357,870.4874232,197.34160881182592,169.3854764103437,179.1103632737597,180.16552650312562,141.65030413162438
