,09A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,App_Amps,Coulombs
106,0.28690342182413175,0.2764620973385874,-0.18296610859166762,-0.17526898706198324,13.865168287934,14.837763926213489,24.210190871601412,18.150081433791826,48.48896554032063,48.79299277052327,37.16568684304103,38.23272940953075,18.601262405223437,19.52233833198642,15.052283598034357,15.997926983214558,0.037667693161311355,0.04782352408191848,0.03251229661501309,0.02508602357058365,0.04578274054565856,0.048622918233441226,-0.04062964116847567,-0.03899065450189365,-0.0927855825405528,-0.041334427462519585,0.0823991364290757,0.06179182756474244,0.04819271605882092,0.018081827855243038,-0.005023256486740291,-0.013133135282388464,29.074580387179477,43.570938669338446,0.22711460289801355,0.05329201047308274,386.2645105014865,38012.80491210316
108,-1.5283034190418512,-1.5316701819106058,-0.751878313620292,-0.7915872483669659,1.7905356955325864,1.47515217459412,12.437618364544662,8.805426355726993,42.34320651826771,42.075324199077826,40.26577691719605,41.17935970499383,25.246632928880636,25.805745614366046,22.134978904902813,23.4831838063479,-0.012605592112898911,0.011338615063417379,-0.08078555916286323,-0.07135618813486388,-0.1739784681269052,-0.17565063460680186,0.10018287939870829,0.09986450653390522,0.23295467134100623,0.05303990445085116,-0.051748620406947055,-0.046530476776120544,0.166651917240348,0.09428710844256116,0.0428451471125344,-0.00014223779323274677,28.170430105368293,50.85357187447163,-0.31696397909938057,0.031105691136239066,361.3660126858309,38735.53693747482
110,-0.39352827340357877,-0.37625663045471214,0.5820232481951599,0.5866572468200246,4.524681805458673,4.89795992833516,3.421386597574923,2.833928036197393,31.689221643751146,30.474938585234977,38.423420071354535,38.81689179344571,32.89188339596323,33.0218846666512,36.148674784573004,37.827819220724706,-0.2829942520213251,-0.21496016316004551,-0.6120461715103689,-0.6125295725878619,-0.9421415703075864,-0.9427585564476448,0.2517353950491139,0.2473423614004555,0.7933241845638923,0.32679241824203054,-0.3754871730882119,-0.3079982378445676,0.07603150669458536,0.11031660863422754,0.15799799990714014,0.1274279636970279,26.53574365629117,50.02365504361511,-1.1292480894168921,-0.030910794799038577,368.5708786773328,39472.67869482948
112,0.14734163171123882,0.15332621664459367,0.6826464765964069,0.6903105010654542,2.96377478841379,3.2233446499525993,2.1845034136687076,1.8090319190511375,30.84197854241898,29.58140421938809,38.778417404238645,39.178289380476045,33.369212440347006,33.492034910225286,36.94664684134834,38.65608775342892,-0.2599394677042959,-0.208224835428241,-0.4826564437414609,-0.4881234410863762,-0.7123221103727735,-0.7103738488828082,0.1586466056141269,0.15564404834755097,0.5437851560707303,0.2269192705523464,-0.24360264847422464,-0.204335813869978,0.07982720054720716,0.0972555625578515,0.12642617592274474,0.10229821908451475,25.300252149245363,50.39900924376446,-0.7773772185087839,-0.015466966697498918,365.7859919259157,40204.25067868132
114,0.30591005818741834,0.3029503906483981,0.5182032699724921,0.5258685109569399,1.9090637808575686,2.084918870025538,1.405515676857263,1.1677112889509695,30.28205621810043,28.992375820027892,39.05513768284915,39.46341923543032,33.66230044886231,33.77794458428949,37.616851839477874,39.346761816708266,-0.21590225922311523,-0.18413251899093264,-0.3284751565483086,-0.3362389187044901,-0.46190907708433837,-0.455600046682326,0.05539516806774092,0.05498022298457883,0.2683830387231021,0.12117932369042617,-0.10255307268792624,-0.09245494062279302,0.06678610663378137,0.07326308992805997,0.08852641700056019,0.07416873190428186,24.596122076107374,51.03502890637788,-0.4260720294935618,-0.016109580110968302,364.23137497347125,40932.71342862826
116,0.4393742906305924,0.42770858875618245,0.3367717556199814,0.3442880523915193,0.8906498586047924,0.9850125121567483,0.657890744463586,0.5526434367427138,29.74289479300304,28.425425581918827,39.32254727384669,39.73926454606198,33.941122125839,34.049810262054635,38.271733597392334,40.02132117243657,-0.17197298417112616,-0.16022802524887592,-0.17460427470395334,-0.18447114431203637,-0.21263552236798855,-0.2019387614398891,-0.047298722573525076,-0.04510084714531182,-0.005686609325729286,0.016260402117944217,0.03685358888748613,0.01834831218279298,0.05155066226930671,0.04809898408356972,0.050020318033379585,0.04595644140827293,23.923200453567514,51.66800034528352,-0.07889672489098931,-0.01797701100775395,362.70593747256584,41658.12530357339
118,0.5441559591262823,0.5241096704094659,0.1381842573313783,0.14538172438356867,-0.07958705910401065,-0.06361476462068971,-0.049050842044636056,-0.0284574366371535,29.2308906012319,27.887292120055353,39.577992544044236,40.003116684736675,34.20217063783856,34.30417732603678,38.90513412556439,40.673380878413695,-0.12832749421803147,-0.13654720430164602,-0.022107701889022557,-0.03384782601268732,0.033624508913765006,0.048713369828623954,-0.14866619808320536,-0.14384276774822125,-0.2763666731705259,-0.08703621215651047,0.17359097046921512,0.12725408904171953,0.03423653947099048,0.021954102647904428,0.01122075253231003,0.017881395707489922,23.29080977587763,52.29493944140159,0.2613574866020194,-0.021136961986736758,361.2329798196925,42380.59126321277
120,-0.057248749655943953,-0.052700592285596315,0.019266348214248552,0.023150601324800846,1.2683184887331898,1.3857219061167196,1.0580599172766085,0.8959765435098186,23.15915787865967,22.037463014507768,35.90454751872275,36.06873157505389,33.40047676162917,33.28090227967692,42.24072029414597,43.83202724381705,-0.4813481753879607,-0.6041359487500628,0.031991869766106795,0.1505622462618712,0.5566259983777444,0.4454576952344471,0.624147317808103,0.6264689630576261,0.7642478312009242,-0.027750869016939905,-1.0078078250437192,-0.7511555927765716,0.021161461541378657,0.030964288282874897,0.045132302077663056,0.004169767501129851,21.483621598237587,49.92520811910729,-0.5041139020190522,0.30216572403665065,346.10018389894407,43072.79163101066
122,-0.5638768995706052,-0.5467715144796372,0.00012572643759156676,-0.0014020790197832866,2.056198357103117,2.2287560072963455,1.618311352499589,1.3525887940425898,16.94992457981825,16.031471634044724,32.0949343254554,32.09247831986006,32.86652359539781,32.65355007072013,44.19997359255085,45.68463289674928,6.481181939401685,6.701040494709964,4.300019320517513,4.9720684873347585,0.33051812233952216,0.24066410840509533,0.4127334302591583,0.4222998633986901,0.48512445317052677,-0.09704726073930425,-0.7227470674046126,-0.5345752538644009,0.12282916162729673,-0.09600629484007728,-0.31358235435891446,-0.487557359780574,19.10201440622961,47.83546120585417,-1.3976992119023874,-0.2408903566228,346.2332685926406,43765.25816819594
124,-0.888962955083688,-0.8817225127470252,-0.12156336374983923,-0.13093076857637698,1.9043286566941937,2.0409072140869338,1.4491072229330229,1.198178496344867,13.040496157961114,12.238639481218701,29.440540672423836,29.444608786430532,32.50541786164868,32.368490847232124,43.68355987012728,45.1369290186624,19.093182334339545,20.049477445730375,11.751022863183238,13.190664640796674,-0.6480204961512692,-0.5618184382283076,-0.828104424076086,-0.8053647661843719,-1.1524042639489442,-0.21800585004868278,0.9324052232097504,0.6704353035478485,0.16420606515660685,-0.2040547916445301,-0.5764605260152429,-0.7753437331164861,17.196181469496306,47.01196877893655,-2.3594694410883843,-1.6445314829209225,362.7139905965804,44490.686149389105
126,-0.28810872826116807,-0.29348271805543646,0.23411621351680267,0.22524866679587774,2.1203956886323887,2.220421603713282,1.8102702591670834,1.5067579649073517,11.286981966264198,10.569837793006375,26.210023331307468,26.128819160850494,30.189605816493753,29.983376605234483,42.48265933732479,43.640336689675124,20.998403576194384,22.062358829853252,11.978293562210819,13.100408310480143,-1.3536180094660741,-1.3066969937738175,-0.8392269784621487,-0.8313121946209847,-0.6935537844532265,0.3227228362662501,-0.04975545053336017,-0.28047134970871834,-0.505486518755172,0.4547390302921912,1.4522507963387326,1.970023471118362,16.737497679594636,44.087731530216715,0.0809883059570975,-0.2275260239673491,355.18503027535456,45201.056209939816
128,-3.6728560847505385,-3.572576425184998,-0.2956987375329696,-0.30993264555829114,8.388888356643651,9.161997978496862,5.861967398003671,4.833856194621178,8.576041071655217,10.27608230986242,16.45008485649224,16.582331315215615,26.216966804737993,23.77699072184815,39.7863851211079,40.385529694086486,30.381586623597876,31.366526281644028,15.8461044035096,16.65836826507259,-1.752508256189766,-1.7224553841805044,-2.709919667709727,-2.6296891740424506,-3.1208464328376575,-0.5699356333704921,5.527058789739058,4.270184777367493,1.5053862720581823,-2.070995055024124,-5.454027273106494,-7.283861092446821,20.35373488590346,38.261831278554986,13.44816933084208,3.9384142593861693,356.68918512851207,45914.43458019684
130,-0.9878371908433543,-0.9947004671518656,-0.08743965274822685,-0.0958471260358209,3.4259806476035273,3.6007376039991126,2.820374333599517,2.338510079194564,7.371186753619872,6.612888700017695,17.556105341589834,17.24499164114584,26.353541010678526,26.16903167558786,42.4387260396093,43.48591965299626,23.329857699109766,23.97205027463766,8.117558147759887,8.407672405829807,-1.7480155138225966,-1.7161565757114428,-1.453654829629885,-1.442614709952343,-1.1115405619187446,0.3725309244169486,2.4887147597650134,1.7722618983210685,0.14994992815561803,-0.51620188609026,-1.0466423585261135,-1.3204934730969877,15.708114070466078,38.48530373614258,31.331598134578492,13.146312749033836,354.17877386233096,46622.7921279215
132,-0.5831136260752352,-0.6005352698878781,-0.18864088675763568,-0.19324906668164488,2.022518453818865,2.0874072537832884,1.7773086224718782,1.4748757759228122,6.715718047219033,5.937606136235832,17.7881610706918,17.46852720549082,26.489954865147503,26.27708043926757,42.86753949505618,43.91361983133113,22.80683933572508,23.41628288095771,7.946297748920494,8.190686757312877,-0.9267381570865458,-0.9108237446212097,-0.782704735201321,-0.7772238904434765,-0.6074075986814438,0.18061325870146572,1.4207638610255025,1.025345228483416,0.12350360372114944,-0.34932558331578534,-0.7516968485657118,-0.96262692370702,14.639173644372331,38.40488915904616,31.636875136956128,13.57944675278691,350.556948233421,47323.90602438834
134,0.0056236307761246,-0.07576342821432291,0.060136124229902777,0.02067763273554135,0.20371951777005748,0.07084315028061461,0.8195965359983859,0.7262431056097833,3.895867296682246,3.033940804352813,16.295454155978256,15.953792698422372,26.362827707349766,26.149036388881612,43.35828166688746,44.3585618052297,22.881999812349655,23.432211184112376,7.915559009907426,8.08335576399498,-0.49874639965624734,-0.49384850108545386,-0.31206057515298724,-0.3112571483203528,-0.18901225729985383,0.10064894968405103,0.6011077637538378,0.44347887196652724,0.049625144902818,-0.21448469347292765,-0.4537844181692743,-0.5894543999315491,14.125849305489108,39.13122495671987,32.99111285121208,14.331508800202817,342.2638728141772,48008.433770016694
136,0.040060753853264686,0.10087079383598763,-0.8505447131468848,-0.8133273703181203,-0.2462280464848412,-0.2045849382069438,-0.2009621911342947,-0.2019146165164889,1.8282564184457382,2.0286937814149475,-0.4855636854694927,-0.4811170375241689,22.83039741643961,22.533169421915275,41.137252244104005,41.461350746707566,30.92129675624613,31.356694213063854,13.018550610123189,13.558248235846166,-4.215299567676758,-4.190541465644328,-2.4561662905776256,-2.429428514444023,-1.3106643125657578,0.8489909363672608,3.5683886458076834,2.833566413991197,0.12828485719721838,-0.4830536912865404,-0.7929224070918899,-1.0464835535474837,14.875788669498288,34.97156100852521,41.503783508234235,17.95029697786758,317.0867000078487,48642.60717003239
138,-0.013921304604100015,0.044779449869643884,-0.5910264829046348,-0.5598170914808946,-0.15637346661449314,-0.0927028716670808,-0.25083875871990813,-0.23966197475966933,1.3579326164800332,1.5329077523504857,-0.5047976622996861,-0.5077513354433139,22.506013712067542,22.186608416581464,40.8306846368859,41.13869313935248,30.54578484918428,30.92273389009494,13.167389564070646,13.70075255271142,-3.116138257630552,-3.1028123731595887,-1.8543586633108458,-1.8282343855824301,-1.037681152884418,0.549184173150528,2.6450458965056782,2.216358318127587,0.11645320121652292,-0.34886701458908664,-0.5792284326329655,-0.7787089850236644,14.560930203540718,34.96822233460578,41.660564470136734,18.25025271115686,317.33837167478185,49277.28391338195
140,-0.06994179131710965,-0.013341250987373598,-0.3362718574624459,-0.3110269572425324,-0.06750253433423481,0.017975523125164372,-0.3002468794076094,-0.27705061761228844,0.8921397739501113,1.041918813195668,-0.5240920063520127,-0.5343665702461182,22.18421220154778,21.842843345725043,40.52655855023234,40.81861223201604,30.17341496611148,30.49243775629059,13.31465591789857,13.841722687052998,-2.0273282456544797,-2.025325369787657,-1.258225170699868,-1.2327090304302928,-0.7674390012798562,0.2522953989971244,1.7296337555071908,1.6045215445070768,0.10310786559804397,-0.21683159370089822,-0.36809938808644427,-0.5135283553689378,14.248910703849841,34.9641620427724,41.815494980811714,18.547007901017935,317.56829934023693,49912.420512062425
142,-0.1279309069002359,-0.07342122761006209,-0.0862149573041755,-0.06689077134822696,0.0203892105774095,0.1274552178127859,-0.34918689111174217,-0.3140809162426157,0.43087157246019636,0.5557197291748004,-0.543440204334849,-0.5609565523785891,21.865003490002792,21.5018845140239,40.22488397514829,40.50111834607554,29.804195170811084,30.065814217902407,13.460355495233294,13.981165000599622,-0.9488613175352176,-0.958072369382327,-0.667761132286989,-0.6428477616298593,-0.49993112605844736,-0.041680233524197696,0.8221664077981785,0.9980636424827809,0.08829355804173078,-0.08692196017540832,-0.15951844739821208,-0.2509376736765425,13.939731296094859,34.959400866229,41.968586520538274,18.84057514595866,317.7770189280679,50547.97454991856
